article,line_no,phrase,global_citations
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",5,the coefficient of friction and the coefficient of wear were characterized with a tribomete and the hardness with a nanoindenter.,0
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",6,"the results show that the profiles of the coatings are not uniformly distributed, with a central region of maximum thickness decreasing towards the ends by up to 50%.",0
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",7,the films show the presence of macroparticles that decrease with increasing axial positions.,0
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",8,the coefficient of friction and the coefficient of wear rate decreased when the substrate was placed further from the cathode.,0
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",9,"the highest values of hardness, the lowest coefficient of friction and the lowest coefficient of wear were obtained in the region where the magnetic field is the highest.",0
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",10,the author.,0
"Bermeo-Acosta FA, 2020, DYNA, V87, P37",11,licensee universidad nacional de colombia.,0
"Jacobo-Galicia G, 2020, DYNA, V87, P66",0,"in recent years, burnout has emerged as one of the most important work risks.",1
"Jacobo-Galicia G, 2020, DYNA, V87, P66",1,continuous chronical emotional and interpersonal stressors at the workplace can lead to burnout.,1
"Jacobo-Galicia G, 2020, DYNA, V87, P66",2,"among those, psychosocial risk factors are things, events, or circumstances that may affect workers' health due to their work and workplace conditions and may result in burnout.",1
"Jacobo-Galicia G, 2020, DYNA, V87, P66",3,the purpose of this research was to design and validate a scale to evaluate the relationship between psychosocial risk factors and burnout within the aerospace manufacturing industry.,1
"Jacobo-Galicia G, 2020, DYNA, V87, P66",4,"a reliable, valid scale was obtained, which can be applied to operative personnel.",1
"Jacobo-Galicia G, 2020, DYNA, V87, P66",5,the author.,1
"Jacobo-Galicia G, 2020, DYNA, V87, P66",6,licensee universidad nacional de colombia.,1
"Hleap-Zapata JI, 2020, DYNA, V87, P46",0,the effect of partial replacement of wheat flour with turmeric flour (curcuma longa) on the physicochemical and sensory properties of chorizo made with pork was evaluated.,3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",1,"three levels of turmeric flour substitution were proposed 0.8%, 1.4% and 2.1%, corresponding to a substitution of a 19.04%, 33.33% and 50,00%, respectively, along with a control chorizo without the addition of said flour.",3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",2,"the ph, water holding capacity, color, texture and sensory evaluation were measured.",3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",3,the ph tended towards acidity in the treatment with the greatest inclusion of uremic flour.,3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",4,the sensory evaluation was carried out with to untrained panelists who determined the chorizo with the highest acceptability.,3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",5,"for the sensory parameters, there were no significant differences, except for color.",3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",6,"therefore, turmeric flour can be used as a partial substitute for wheat flour in the production of common chorizo without affecting physicochemical and sensory properties.",3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",7,the author.,3
"Hleap-Zapata JI, 2020, DYNA, V87, P46",8,licensee universidad nacional de colombia.,3
"Hernandez-Diaz JL, 2020, DYNA, V87, P17",0,"every year in brazil, in the construction industry, several thousands of accidents at work occur, which have a strong social impact, and result in millions of dollars being spent on accident benefits.",0
"Hernandez-Diaz JL, 2020, DYNA, V87, P17",1,"based on this information, it becomes relevant to analyze the country's approach to workplace accidents in this industry.",0
"Hernandez-Diaz JL, 2020, DYNA, V87, P17",2,"therefore, this article presents an analysis and a ranking of workplace accidents in the construction sector in various regions of brazil, based on data obtained from official statistical sources, for the period 2010-2016. these data highlight a general reduction in the rate of occurrence of accidents in the country.",0
"Hernandez-Diaz JL, 2020, DYNA, V87, P17",3,"this study was carried out through quantitative research, statistical observations, correlation determination, and use of the ahp and topsis multi-criteria methods, with the aim of providing a clear perspective of the nature of the problem to professionals in this sector and government agencies.",0
"Hernandez-Diaz JL, 2020, DYNA, V87, P17",4,the author.,0
"Hernandez-Diaz JL, 2020, DYNA, V87, P17",5,licensee universidad nacional de colombia.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",0,probiotics are lactic acid bacteria that improve microbial balance.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",1,the objective of this research was to fortify the chayote matrix with lactobacillus casei and flavor it with passion fruit.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",2,porosity was determined and vacuum impregnation was applied to chayote geometries with passion fruit formulations.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",3,the chayote samples were characterized physicochemically.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",4,fortification was performed with lactobacillus casei with 109 cfu/ml and the viability of the microorganisms was evaluated.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",5,"the results showed similar porosity values in parallelepipeds and sheets (0.995 0.003 and 0.991 0.005, respectively).",0
"Obando-Mejia FF, 2020, DYNA, V87, P236",6,while obrix (9.9 0.12 and 10.2 0.12) and ph (6.03 0.01 and 6.06 0.01) were higher in sheets.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",7,"titratable acidity (0.301  0.012 and 0.258  0.012) was higher in parallelepipeds, showing greater viability after 20 days of storage with values above 106 cfu/g and greater sensory acceptance.",0
"Obando-Mejia FF, 2020, DYNA, V87, P236",8,the 75:25 pulp:water formulation and the parallelepiped geometry had the most suitable conditions to incorporate the probiotic.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",9,the author.,0
"Obando-Mejia FF, 2020, DYNA, V87, P236",10,licensee universidad nacional de colombia.,0
"Vega JA, 2020, DYNA, V87, P144",0,"the contribution of universities, companies, and the state in colombia to confront home-made antipersonnel (ap) landmines has generated solutions and useful studies for many projects developed in the last 15 years, including for demining processes in colombia.",1
"Vega JA, 2020, DYNA, V87, P144",1,"the construction of ap landmines has changed in the last 15 years, due to the intermittent nature of the internal conflict in colombia.",1
"Vega JA, 2020, DYNA, V87, P144",2,"the office of the high commissioner for peace, decontamina colombia, shows that non-state armed groups have the strategy to cut the detonator of the home-made ap landmine to reduce its amount of metal.",1
"Vega JA, 2020, DYNA, V87, P144",3,"this document shows the aspects of the conflict that have affected humanitarian demining, which help the design and construction of technological devices.",1
"Vega JA, 2020, DYNA, V87, P144",4,"this article does not attempt to describe each technology used in humanitarian demining processes, but rather to show the characteristics considered in the design of two detection devices aimed at detecting home-made ap landmines.",1
"Vega JA, 2020, DYNA, V87, P144",5,the author.,1
"Vega JA, 2020, DYNA, V87, P144",6,licensee universidad nacional de colombia.,1
"de Menezes SM, 2020, DYNA, V87, P18",0,this study aimed to evaluate the dry matter production and nutrient accumulation of coriander (coriandrum sativum l.) under pulse and continuous fertigation depths.,3
"de Menezes SM, 2020, DYNA, V87, P18",1,"the experiment was conducted in randomized blocks in 2 x 5 factorial arrangement, with three replicates.",3
"de Menezes SM, 2020, DYNA, V87, P18",2,"treatments consisted of two types of fertigation application (pulse and continuous) and five fertigation depths (40, 60, 80, 100 and 120% of crop evapotranspiration  etc).",3
"de Menezes SM, 2020, DYNA, V87, P18",3,"highest accumulations of dry matter, n, p, k, fe, mn, cu and zn were obtained with pulse fertigation.",3
"de Menezes SM, 2020, DYNA, V87, P18",4,"pulse fertigation combined with depths lower than 100% etc led to highest accumulations of k, mn, cu and zn.",3
"de Menezes SM, 2020, DYNA, V87, P18",5,the accumulation of nutrients decreased in the following order: k > n > ca > p > mg > s > fe > mn > zn > cu.,3
"de Menezes SM, 2020, DYNA, V87, P18",6,the author.,3
"de Menezes SM, 2020, DYNA, V87, P18",7,licensee universidad nacional de colombia.,3
"Benjumea J, 2020, DYNA, V87, P80",0,"a large-scale, two-span bridge model constructed by assembling precast elements was tested under a series of bi-axial ground motions simulated on a shake table at the earthquake engineering laboratory at the university of nevada, reno.",5
"Benjumea J, 2020, DYNA, V87, P80",1,the response of the bridge was estimated before the tests using a three-dimensional computational model developed in opensees software.,5
"Benjumea J, 2020, DYNA, V87, P80",2,"after the tests, key measured seismic responses were compared to those predicted by the computational model to assess the modeling assumptions.",5
"Benjumea J, 2020, DYNA, V87, P80",3,"relatively large errors for the displacements, base shears, and hysteretic response of the bridge were observed.",5
"Benjumea J, 2020, DYNA, V87, P80",4,"the influence of the earthquake loading, materials, connectivity of the precast elements, and boundary conditions in the computational model on the errors are discussed in this paper.",5
"Benjumea J, 2020, DYNA, V87, P80",5,future modeling directions are proposed to reduce these errors.,5
"Benjumea J, 2020, DYNA, V87, P80",6,the author.,5
"Benjumea J, 2020, DYNA, V87, P80",7,licensee universidad nacional de colombia.,5
"Estrada-Montoya CC, 2020, DYNA, V87, P9",0,"the small gold mining generates toxic substances discharges, being an environmental problem.",0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",1,"the objective was to evaluate the removal of cyanide and heavy metals, in liquid effluents from the gold benefit, by adsorption with activated carbon and hydrogen peroxide.",0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",2,"the residues were first treated with carbon to determine the adsorption efficiency with 20, 40, 60 g of carbon / l of solution at times of 4, 8, 12 hours.",0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",3,"then hydrogen peroxide (1.0, 1.5, 2.0 liters of peroxide / kg cn in solution, was added over 4 hours).",0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",4,"the response variables were concentrations of cyanide, lead, zinc, iron.",0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",5,"the best treatment with carbon was 60 g of carbon / l of solution and 12 hours of contact and for the process with hydrogen peroxide: 2 liters of h2o2 / kg of cn in solution, during 4 hours.",0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",6,a flow chart and tables for the implementation of the process were designed.,0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",7,the author.,0
"Estrada-Montoya CC, 2020, DYNA, V87, P9",8,licensee universidad nacional de colombia.,0
"Trujillo-Vargas L, 2020, DYNA, V87, P26",0,this work describes a method for the simultaneous determination of organic acids in fungi fermentation broths.,1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",1,the sample preparation technique and the chromatographic conditions were optimized to enable the monitoring of the fermentation process.,1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",2,"the determination of the citric and oxalic acid was done with a high resolution liquid chromatograph adapted to a detector with diode arrangement, an ic-pak ion-exclusion 7m (7.8 x 300 mm) column and a mobile phase of 0.001n h2so4 with isocratic elusion.",1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",3,"the validation parameters show efficiency, adequate linearity, and standard deviation values (%rsd) from 0.018% and 4.650%.",1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",4,the quantification limits (ldc) were 50.76 mg/l for citric acid and 20.18 mg/l for oxalic acid and the detection limits (ldd) were 0.6 mg/l for both acids.,1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",5,the method was applied in the analysis of organic acids in fermentation broths of aspergillus niger.,1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",6,the author.,1
"Trujillo-Vargas L, 2020, DYNA, V87, P26",7,licensee universidad nacional de colombia.,1
"Lopez JC, 2020, DYNA, V87, P47",0,"in this study, a methodology to measure fuel consumption for light duty vehicles (ldv) in colombia was elaborated based on existing methodologies from road transportation worldwide.",0
"Lopez JC, 2020, DYNA, V87, P47",1,"this methodology was proposed as a tool for the evaluation of energy efficiency strategies applied to vehicles, as well as establishing the baseline for measurement, control, and regulation of consumption of fossil fuels based on metrological criteria.",0
"Lopez JC, 2020, DYNA, V87, P47",2,"additionally, the capacities for measurement within colombia were analyzed, and procedures stated by the code of federal regulations of the united states of america were adopted for measuring fuel consumption of ldv by gravimetric methods.",0
"Lopez JC, 2020, DYNA, V87, P47",3,"an uncertainty model based on the guide to the expression of uncertainty in measurement (gum) was elaborated, and the contribution of different variables associated to the measurement process the instruments, the equipment, and the ambient conditions over the uncertainty of the measurand, were analyzed.",0
"Lopez JC, 2020, DYNA, V87, P47",4,the author.,0
"Lopez JC, 2020, DYNA, V87, P47",5,licensee universidad nacional de colombia.,0
"Perez-Rave JI/1, 2020, DYNA, V87, P63",0,the objective of this work is to develop a machine learning model for online pricing of apartments in a colombian context.,1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",1,"this article addresses three aspects: i) it compares the predictive capacity of linear regression, regression trees, random forest and bagging.",1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",2,ii) it studies the effect of a group of text attributes on the predictive capability of the models.,1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",3,and iii) it identifies the more stable-important attributes and interprets them from an inferential perspective to better understand the object of study.,1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",4,"the sample consists of 15,177 observations of real estate.",1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",5,the methods of assembly (random forest and bagging) show predictive superiority with respect to others.,1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",6,the attributes derived from the text had a significant relationship with the property price (on a log scale).,1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",7,"however, their contribution to the predictive capacity was almost nil, since four different attributes achieved highly accurate predictions and remained stable when the sample change.",1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",8,the author.,1
"Perez-Rave JI/1, 2020, DYNA, V87, P63",9,licensee universidad nacional de colombia.,1
"Betancourt-Parra S, 2020, DYNA, V87, P73",0,"usually, smectite clays, which are used for catalytic purposes, are subjected to chemical and thermochemical treatments to enhance their surface features.",0
"Betancourt-Parra S, 2020, DYNA, V87, P73",1,"this research aims to analyze textural and structural features of the physical mixtures of two colombian smectite clays at room temperature and after the treatment at 600c, 800c, and 1000c.",0
"Betancourt-Parra S, 2020, DYNA, V87, P73",2,"the physical mixtures of two colombian clays were characterized by x-ray techniques, thermal analysis, and bet surface area to evaluate physical changes resulting from the three thermal treatments.",0
"Betancourt-Parra S, 2020, DYNA, V87, P73",3,the results showed the appearance of microstructural changes in basal spacing and other crystals minerals because of the loss of carbonates and alkaline oxides in the clays.,0
"Betancourt-Parra S, 2020, DYNA, V87, P73",4,"additionally, a dramatic reduction in surface area features was evidenced by the temperature increase.",0
"Betancourt-Parra S, 2020, DYNA, V87, P73",5,"simultaneously, an increase in the pore size was also observed because of the increase of the temperature treatment.",0
"Betancourt-Parra S, 2020, DYNA, V87, P73",6,the results reveal that the physical mixture is not an appropriate solution to enhance the textural properties of the colombian clays for sorption or catalytic purposes.,0
"Betancourt-Parra S, 2020, DYNA, V87, P73",7,the author.,0
"Betancourt-Parra S, 2020, DYNA, V87, P73",8,licensee universidad nacional de colombia.,0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",0,"the research describes a project in computer organization class with two groups, one in 2017 and the other in 2018, in a trimester course of 68.34 hours which integrated both topics assembly language and hardware design.",0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",1,"the project involves the implementation of a reduced version of an embedded mips32 system, with a simulated and real hardware implementation using fpga (field programmable gate array).",0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",2,followed by the development of a game in c and assembly language that runs on the embedded system.,0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",3,"the results show that all students from the first and second group that coursed computer organization class during a 10-week period expressed high levels of interest and engagement, despite the complexity of the project.",0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",4,"with feedback from the first group and with some modifications to the project, all students from the second group successfully completed the project.",0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",5,the author.,0
"Deras-Tabora IJ, 2020, DYNA, V87, P57",6,licensee universidad nacional de colombia.,0
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",0,diffuse cognitive map was applied to analyse factors of vulnerability to climate variability in rural andean micro-watershed.,4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",1,the imodeler software was used as a tool that allows the modelling of these maps.,4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",2,"as input information, the results of the socioecological dynamics analysis previously implemented in the case study were taken, and weights were assigned to each input factor in relation to a central factor in a time scale.",4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",3,"the model applied in the el chocho micro-watershed-department of valle del cauca in colombia, can be validated in similar contexts of the andean colombian area.",4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",4,"a high degree of water shortage and increased pressure on the associated ecosystems was evidenced, which puts at risk the resilience of the socio-ecosystem to face climate variability.",4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",5,the results of this type of models are tools for decision making in adaptation at rural level.,4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",6,the author.,4
"Bolanos-Portilla IC, 2020, DYNA, V87, P38",7,licensee universidad nacional de colombia.,4
"Parra-Campos A, 2020, DYNA, V87, P31",0,"the aim of this study was to evaluate different formulations of a biodegradable black concentrate obtained from cassava starch and carbon black, on the mechanical properties, color, and water absorption of a film destined to the production of biodegradable bags for coffee seedlings.",0
"Parra-Campos A, 2020, DYNA, V87, P31",1,"the modulus of elasticity, tensile strength and elongation properties is found to show significant variation due to the pigment, plasticizer, and lubricant concentration, both longitudinally and transversely of the film, the treatment being 40% pigment with the absence of plasticizer and lubricant for the pigment, which presented greater integrity in the mechanical properties evaluated in both directions.",0
"Parra-Campos A, 2020, DYNA, V87, P31",2,it is also noticeable that the different masterbatch formulations had an influence on the changes in the color parameters and weight gain of the film by the influence of water absorption.,0
"Parra-Campos A, 2020, DYNA, V87, P31",3,the author.,0
"Parra-Campos A, 2020, DYNA, V87, P31",4,licensee universidad nacional de colombia.,0
"Zozaya A, 2020, DYNA, V87, P96",0,this paper deals with the design of two identical 1  4 patch antenna arrays for a linear frequency modulated (lfm) continuous wave (cw) synthetic aperture radar (sar) prototype.,1
"Zozaya A, 2020, DYNA, V87, P96",1,"the theoretical design is carried out by using the empirical equations available in the literature, while the design optimization is performed by numerical methods using two commercial full wave simulators.",1
"Zozaya A, 2020, DYNA, V87, P96",2,once the antennas are built they are experimentally characterized and incorporated into a radar prototype implemented at the ecuadorian space institute.,1
"Zozaya A, 2020, DYNA, V87, P96",3,the radar is tested in a probing polygon and the horizontal resolution is estimated.,1
"Zozaya A, 2020, DYNA, V87, P96",4,a measured azimuthal resolution value very close to the theoretical one is achieved.,1
"Zozaya A, 2020, DYNA, V87, P96",5,the author.,1
"Zozaya A, 2020, DYNA, V87, P96",6,licensee universidad nacional de colombia.,1
"Jose A, 2019, DYNA, V86, P215",0,emerging serious games mark the beginning of a new era in video games.,2
"Jose A, 2019, DYNA, V86, P215",1,emerging serious games introduce advances in distributed artificial intelligence into their design in order to guide the players manipulation of a specific subject in an adaptive way.,2
"Jose A, 2019, DYNA, V86, P215",2,"in this article, we present a city simulator game, called metropolis, which generates emergent properties.",2
"Jose A, 2019, DYNA, V86, P215",3,"metropolis can be used by a smart city for city planning, to make collective decisions, and for other purposes.",2
"Jose A, 2019, DYNA, V86, P215",4,this paper describes why metropolis can be classified as a serious game.,2
"Jose A, 2019, DYNA, V86, P215",5,"it also analyzes how its emergent properties can be used for managing a smart city, and especially how it promotes e-participation as an e-decision-making tool within the context of urban planning.",2
"Jose A, 2019, DYNA, V86, P215",6,"in addition, this paper explores how metropolis can be used to analyze a smart citys emergent citizen and urban patterns (urban spatial distribution) based on strong e-participation.",2
"Jose A, 2019, DYNA, V86, P215",7,the author.,2
"Jose A, 2019, DYNA, V86, P215",8,licensee universidad nacional de colombia.,2
"Caicedo C, 2019, DYNA, V86, P288",0,"based on the results of research papers reflected in the scientific literature, the main examples, methods and perspectives for the development of technical textiles are considered.",4
"Caicedo C, 2019, DYNA, V86, P288",1,the focus of this work is to concentrate the results obtained for different textile applications (technical textiles) through the use of biodegradable polymers modified and improved with nanoparticles.,4
"Caicedo C, 2019, DYNA, V86, P288",2,"the techniques for obtaining polymeric nanocomposites, finishing processes, type and structure of textiles are specified.",4
"Caicedo C, 2019, DYNA, V86, P288",3,"in general, key aspects are identified for a better understanding of the technical challenges and physicochemical effects of the fibers.",4
"Caicedo C, 2019, DYNA, V86, P288",4,the author.,4
"Caicedo C, 2019, DYNA, V86, P288",5,licensee universidad nacional de colombia.,4
"Rubiano-Moreno J, 2019, DYNA, V86, P94",0,the aim of this study is to introduce a new clustering method for ipsative variables.,0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",1,"this method can be used for nominal or ordinal variables for which responses must be mutually exclusive, and it is independent of data distribution.",0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",2,the proposed method is applied to outline motivational profiles for individuals based on a declared preferences set.,0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",3,a case study is used to analyze the performance of the proposed algorithm by comparing proposed method results versus the pam method.,0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",4,results show that the proposed method generates a better segmentation and differentiated groups.,0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",5,an extensive study was conducted to validate the performance clustering method against a set of random groups by clustering measures.,0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",6,the author.,0
"Rubiano-Moreno J, 2019, DYNA, V86, P94",7,licensee universidad nacional de colombia.,0
"Santos-Jaimes LM, 2019, DYNA, V86, P157",0,pseudonym change schemes have been studied in vanets to guarantee the property of untraceability of the vehicles.,6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",1,"this paper proposes a new condition based on the assumption that if there are no malicious vehicles around when a synchronous change triggers, there is no risk of tracking, and the pseudonym change defers until a time threshold.",6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",2,"thus, our proposal based on a synchronous strategy to increase the anonymity set, adds to the change condition, the checking of the reputation status of the neighbouring vehicles.",6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",3,the reputation status is the result of discretizing the reputation score of the vehicles and it is part of the periodically broadcasted beacon messages.,6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",4,the proposal was evaluated through experiments using a simulated scenario of a real map.,6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",5,the results showed an optimization in the use of pseudonyms maintaining similar anonymity levels with other schemes.,6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",6,the author.,6
"Santos-Jaimes LM, 2019, DYNA, V86, P157",7,licensee universidad nacional de colombia.,6
"Perez-Arrieta J, 2019, DYNA, V86, P300",0,"the therapeutic approach of the atherosclerotic plaque has been visualized from multiple perspectives, which include from the handling of drugs until the implantation of medical devices like stents.",0
"Perez-Arrieta J, 2019, DYNA, V86, P300",1,"a current alternative to restenosis appearance, is the use of stents with drug- releasing coatings.",0
"Perez-Arrieta J, 2019, DYNA, V86, P300",2,"the present work seeks to analyze the structural and hemodynamic behavior and to understand the effects between the interaction of a stent coating manufactured in pvoh with and without the presence of carbon nanotubes with concentrations of cnt varying from 0.1 to 0.3% (wt), through a computational study.",0
"Perez-Arrieta J, 2019, DYNA, V86, P300",3,the computational study is based on a fluid-structure (fsi) model in one way and with a scheme partitioned using the finite element method.,0
"Perez-Arrieta J, 2019, DYNA, V86, P300",4,"in conclusion, predicting the mechanical behavior and local flow patterns of these devices may provide criteria elements that allow the improvement of the design of a stent coating.",0
"Perez-Arrieta J, 2019, DYNA, V86, P300",5,the author.,0
"Perez-Arrieta J, 2019, DYNA, V86, P300",6,licensee universidad nacional de colombia.,0
"Olarte-Torres JA, 2019, DYNA, V86, P278",0,this paper presents the results obtained from the synthesis and morphological characterization of different magnetite samples: la0.67-xprxca0.33mno3 at 0.13  x  0.67 produced by a solid-state reaction mechanism and lamn1-x(co/ni)xo3 at 0.0  x  0.5 produced by the sol-gel method.,0
"Olarte-Torres JA, 2019, DYNA, V86, P278",1,these samples were characterized using x-ray diffraction spectroscopy and by measuring electric resistivity and magnetic susceptibility which were carried out as a function of temperature.,0
"Olarte-Torres JA, 2019, DYNA, V86, P278",2,"notably, the effects of strain and compressive strength on the lattices of magnetite samples were highly dependent on the concentration of pr, co, and ni.",0
"Olarte-Torres JA, 2019, DYNA, V86, P278",3,"moreover, the transition temperatures of metal-insulator and ferromagnetic-paramagnetic phases also largely depend on these strength effects, e.g., at higher concentrations of pr, effects of increased strain strength were observed, relocating the shifts of ferromagnetic-paramagnetic transitions to lower temperatures.",0
"Olarte-Torres JA, 2019, DYNA, V86, P278",4,"on the other hand, effects of increased compressive strength were observed at higher concentrations of ni and co, relocating the shifts of ferromagnetic-paramagnetic and metal-insulator transitions to higher temperatures.",0
"Olarte-Torres JA, 2019, DYNA, V86, P278",5,the author.,0
"Olarte-Torres JA, 2019, DYNA, V86, P278",6,licensee universidad nacional de colombia.,0
"Vega-Viviescas C, 2019, DYNA, V86, P268",0,droughts are a natural phenomenon of water deficit and represent one of the most dangerous natural hazards to human activities.,2
"Vega-Viviescas C, 2019, DYNA, V86, P268",1,"accordingly, its understanding and monitoring are vital.",2
"Vega-Viviescas C, 2019, DYNA, V86, P268",2,"for this purpose, long historical series of precipitation and evapotranspiration are considered.",2
"Vega-Viviescas C, 2019, DYNA, V86, P268",3,"however, the sources of this observed information on land are usually limited spatially and temporally.",2
"Vega-Viviescas C, 2019, DYNA, V86, P268",4,"the use of complementary sources of information, such as reanalysis, is appropriate in areas with scarce information.",2
"Vega-Viviescas C, 2019, DYNA, V86, P268",5,"thus, we have evaluated the use of the reanalysis databases of the earth2observe project (wfdei & mswep) in the magdalena-cauca river basin in colombia, through the calculation of three drought indicators (spi, spei & wci).",2
"Vega-Viviescas C, 2019, DYNA, V86, P268",6,the indices calculated with the in-situ data identified ten drought events of great affectation in the basin.,2
"Vega-Viviescas C, 2019, DYNA, V86, P268",7,"by applying statistical and a bootstrap uncertainty analysis, we evaluated the performance of the reanalysis, finding that the use of the mswep precipitation product has a good potential for the analysis of droughts in colombia.",2
"Vega-Viviescas C, 2019, DYNA, V86, P268",8,the author.,2
"Vega-Viviescas C, 2019, DYNA, V86, P268",9,licensee universidad nacional de colombia.,2
"da Silva Gomes JW, 2019, DYNA, V86, P363",0,it was aimed to evaluate the effect of doses of phosphorus and different doses of bovine manure on growth of melon galia.,3
"da Silva Gomes JW, 2019, DYNA, V86, P363",1,"the experiment was carried out in greenhouse utilizing pots filled with soil chromic luvissoil in design completely randomized with a 5 x 2 factorial arrangement, comprising five doses of bovine manure (0, 12, 16, 20, 24 t ha-1) and two doses of phosphorus (0 and 400 mg dm-3), with three replicates, totaling 30 experimental units.",3
"da Silva Gomes JW, 2019, DYNA, V86, P363",2,the results indicated that interaction of phosphorus with organic matter was significant effect on total dry mass of the melon plant.,3
"da Silva Gomes JW, 2019, DYNA, V86, P363",3,there was a reduction of the total dry mass when the plants were fertilized at the highest doses of bovine manure.,3
"da Silva Gomes JW, 2019, DYNA, V86, P363",4,the p content from leaf and stem increased gradually at higher doses of phosphorus.,3
"da Silva Gomes JW, 2019, DYNA, V86, P363",5,the phosphorus content in the soil increased according to the doses of organic material available.,3
"da Silva Gomes JW, 2019, DYNA, V86, P363",6,the author.,3
"da Silva Gomes JW, 2019, DYNA, V86, P363",7,licensee universidad nacional de colombia.,3
"Diaz-Concepcion A, 2019, DYNA, V86, P208",0,"the present research was as objective to design a methodology for diagnostic of maintenance management, to can apply any field of production or service.",0
"Diaz-Concepcion A, 2019, DYNA, V86, P208",1,"in the design a study realized in different methodology was used expect tools work, storm brain and the delphi method.",0
"Diaz-Concepcion A, 2019, DYNA, V86, P208",2,"the methodology obtained called methodology by diagnostic criteria had as main characteristics to consist of a checklist (see diagnostic sheet made in excel) of the quantitative type, consisting of 5 functional areas, 21 dimensions, 38 criteria and 186 diagnostic criteria, simple to contextualize any field of action of the maintenance engineering.",0
"Diaz-Concepcion A, 2019, DYNA, V86, P208",3,the methodology was applied in the transport area of an ecuadorian university.,0
"Diaz-Concepcion A, 2019, DYNA, V86, P208",4,the author.,0
"Diaz-Concepcion A, 2019, DYNA, V86, P208",5,licensee universidad nacional de colombia.,0
"Ortega-Alegria DR, 2019, DYNA, V86, P75",0,"it presents the design, development, and implementation of the ultrasonic reactor in laboratory level for batch transesterification with temperature variation, with a mechanic and electronic modular development.",3
"Ortega-Alegria DR, 2019, DYNA, V86, P75",1,its operational characteristics were obtained through commercial equipment revision.,3
